PO No,PO Line Item No,SAPCode,PO Qty,Dispatched Qty,Total MRN Qty
7800011572,4,M60HDP10inchX 2.7,1902,1924.81,1888.8
7800011572,5,M60HDP10inchX14.2,96,96.26,95.76
7800011572,6,M60HDP12inchX14.2,1724,1400.4,1353.01
7800011572,7,M60HDP12inchX17.4,216,212.54,212.54
7800011572,1,M60HDP16inchX15.8,62213,62070.07,53795.43
7800011572,3,M60HDP16inchX16.6,2806,2791.66,2473.48
7800011572,2,M60HDPLINE PIP,368,368.03,368
7800011572,8,M60HDPPIPE1,84,92.59,0
7800011572,9,M60HDPPIPE2,96,104.93,0
7800011572,10,M60HDPPIPE3,120,125.7,0
7800011555,7,M60HDP4inchX7.14,3230,3233.38,2142.82
7800011555,8,M60HDP4inchX7.92,372,378.58,83.62
7800011555,13,M60HDP4inchX7.92,132,143.67,0
7800011555,2,M60HDP6inchX10.97,540,541.44,0
7800011555,6,M60HDP6inchX10.97,492,503.78,226.83
7800011555,3,M60HDP6inchX12.70,4348,4353.06,4312.48
7800011555,18,M60HDP6inchX12.70,250,0,0
7800011555,5,M60HDP6inchX8.74,11120,11128.77,10626.64
7800011555,19,M60HDP6inchX8.74,2350,0,2350
7800011555,1,M60HDP6inchX9.53,36202,36208.18,34385.39
7800011555,17,M60HDP6inchX9.53,500,0,0
7800011555,9,M60HDP8inchX10.31,1794,0,0
7800011555,20,M60HDP8inchX10.31,30,0,0
7800011555,14,M60HDP8inchX12.7,96,0,0
7800011555,10,M60HDP8inchX12.70,84,0,0
7800011555,11,M60HDP8inchX6.35,12319,0,33.66
7800011555,12,M60HDP8inchX8.74,444,0,0
7800011555,15,M60HDP8inchX8.74,384,0,0
7800011555,21,M60HDP8inchX8.74,276,0,0
7800011555,4,M60HDPPL2,167,177.42,0
7800011555,22,MU8HDPBEND01,220,0,0
