SAPCode,PO No,Rejected Qty,Damage Qty,Returned Qty,MRIR Qty,Overage Qty
M60HDP10inchX 2.7,7800011572,0,0,0,1888.8,0
M60HDP10inchX14.2,7800011572,0,0,0,95.76,0
M60HDP12inchX14.2,7800011572,0,0,0,1353.01,0
M60HDP12inchX17.4,7800011572,0,0,0,212.54,0
M60HDP16inchX15.8,7800011572,0,0,0,52425.48,0
M60HDP16inchX16.6,7800011572,0,0,0,2332.54,0
M60HDPLINE PIP,7800011572,0,0,0,0,0
M60HDPPIPE1,7800011572,0,0,0,0,0
M60HDPPIPE2,7800011572,0,0,0,0,0
M60HDPPIPE3,7800011572,0,0,0,0,0
M60HDP4inchX7.14,7800011555,0,0,0,2142.82,0
M60HDP4inchX7.92,7800011555,0,0,0,83.62,0
M60HDP6inchX10.97,7800011555,0,0,0,226.83,0
M60HDP6inchX12.70,7800011555,0,0,0,4312.49,0
M60HDP6inchX8.74,7800011555,0,0,0,10626.64,0
M60HDP6inchX9.53,7800011555,0,0,0,33441.01,0
M60HDP8inchX10.31,7800011555,0,0,0,0,0
M60HDP8inchX12.7,7800011555,0,0,0,0,0
M60HDP8inchX12.70,7800011555,0,0,0,0,0
M60HDP8inchX6.35,7800011555,0,0,0,0,0
M60HDP8inchX8.74,7800011555,0,0,0,0,0
M60HDPPL2,7800011555,0,0,0,0,0
MU8HDPBEND01,7800011555,0,0,0,0,0
